UserID,FirstName,LastName,Email,JoinDate
900000,Mike,McCloskey,Mike@gmail.com,9/24/2024
900001,Susan,McCloskey,Susan@gmail.com,9/24/2024
900003,Brittany,Dean,Brittany@gmail.com,9/24/2024
900004,Natasha,Roundtree,Natasha@gmail.com,9/24/2024
900005,Lindsey,Ort,Lindsey@gmail.com,9/24/2024
900006,Michaela,O'Connell,Michaela@gmail.com,9/24/2024
900007,Matthew,McCloskey,Matthew@gmail.com,9/24/2024
900008,Tara,Ferkel,Tara@gmail.com,9/24/2024
900009,Nathan,McCloskey,Nathan@gmail.com,9/24/2024
900002,Keira,McCloskey,Keira@gmail.com,9/24/2024
